Region,aantal,Primary education,Lower secondary education,Vocational training,Higher education (Bachelor),Higher education (Master/Doctor),Jaar,Region_clean
Kop van Noord-Holland (CR),286200.0,9.4,21.2,47.3,16.4,5.6,2019,Kop van Noord-Holland
Alkmaar en omgeving (CR),187200.0,7.7,19.2,43.6,20.8,8.7,2019,Alkmaar en omgeving
IJmond (CR),149600.0,8.4,19.6,45.5,18.9,7.7,2019,IJmond
Agglomeratie Haarlem (CR),170800.0,8.1,15.3,33.9,23.6,19.1,2019,Agglomeratie Haarlem
Zaanstreek (CR),130400.0,10.0,19.6,45.7,17.4,7.2,2019,Zaanstreek
Groot-Amsterdam (CR),1093100.0,9.4,14.8,33.6,22.0,20.2,2019,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),188000.0,7.6,16.6,37.0,22.4,16.4,2019,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),328100.0,7.3,17.4,39.0,19.8,16.5,2019,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),668000.0,11.6,17.0,36.5,19.5,15.4,2019,Agglomeratie 's-Gravenhage
Delft en Westland (CR),181200.0,7.9,16.7,40.4,21.6,13.4,2019,Delft en Westland
Oost-Zuid-Holland (CR),250500.0,8.8,20.3,42.9,19.3,8.8,2019,Oost-Zuid-Holland
Groot-Rijnmond (CR),1102300.0,11.7,19.4,41.5,17.6,9.8,2019,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),275800.0,9.8,21.6,45.3,16.6,6.7,2019,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),78900.0,10.7,22.9,46.0,15.0,5.4,2019,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),206200.0,7.8,21.5,47.6,17.2,5.9,2019,Overig Zeeland
West-Noord-Brabant (CR),484400.0,9.6,20.0,42.7,19.5,8.2,2019,West-Noord-Brabant
Midden-Noord-Brabant (CR),369200.0,9.5,20.4,42.8,19.0,8.4,2019,Midden-Noord-Brabant
Noordoost-Noord-Brabant (CR),503800.0,9.0,20.4,42.0,19.5,9.2,2019,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),593300.0,9.1,19.0,40.4,20.3,11.2,2019,Zuidoost-Noord-Brabant
Noord-Limburg (CR),215700.0,10.3,21.8,44.2,17.5,6.1,2019,Noord-Limburg
Midden-Limburg (CR),181400.0,9.9,20.8,43.6,18.4,7.3,2019,Midden-Limburg
Zuid-Limburg (CR),460800.0,11.2,20.1,41.8,18.2,8.7,2019,Zuid-Limburg
Flevoland (CR),321300.0,9.6,20.2,45.5,17.8,6.9,2019,Flevoland
Oost-Groningen (CR),101400.0,11.2,23.4,48.3,13.3,3.9,2020,Oost-Groningen
Delfzijl en omgeving (CR),34200.0,9.0,21.4,51.4,14.3,3.9,2020,Delfzijl en omgeving
Overig Groningen (CR),319400.0,6.8,14.7,43.0,22.3,13.3,2020,Overig Groningen
Noord-Friesland (CR),242500.0,8.7,19.8,46.9,18.8,5.9,2020,Noord-Friesland
Zuidwest-Friesland (CR),104900.0,7.3,20.8,47.4,18.7,5.8,2020,Zuidwest-Friesland
Zuidoost-Friesland (CR),139600.0,7.9,20.6,46.6,18.6,6.3,2020,Zuidoost-Friesland
Noord-Drenthe (CR),143300.0,6.6,17.1,45.4,21.3,9.6,2020,Noord-Drenthe
Zuidoost-Drenthe (CR),126900.0,10.3,22.4,48.3,14.6,4.4,2020,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),99600.0,9.2,20.6,46.7,17.1,6.4,2020,Zuidwest-Drenthe
Noord-Overijssel (CR),280500.0,8.1,19.7,44.7,19.7,7.8,2020,Noord-Overijssel
Zuidwest-Overijssel (CR),119200.0,8.1,17.7,44.2,20.6,9.4,2020,Zuidwest-Overijssel
Twente (CR),476200.0,9.3,19.1,45.3,19.0,7.3,2020,Twente
Veluwe (CR),519400.0,8.8,20.0,43.0,19.1,9.0,2020,Veluwe
Achterhoek (CR),303000.0,7.9,20.7,46.4,18.2,6.8,2020,Achterhoek
Arnhem/Nijmegen (CR),573600.0,8.6,17.3,39.6,21.3,13.2,2020,Arnhem
Zuidwest-Gelderland (CR),188200.0,9.4,22.7,43.8,16.6,7.5,2020,Zuidwest-Gelderland
Utrecht (CR),1028600.0,7.7,15.8,36.9,22.1,17.4,2020,Utrecht
Kop van Noord-Holland (CR),286800.0,9.1,20.9,46.9,17.4,5.7,2020,Kop van Noord-Holland
Alkmaar en omgeving (CR),187900.0,7.4,18.6,43.8,21.1,9.0,2020,Alkmaar en omgeving
IJmond (CR),150200.0,7.9,18.6,46.2,19.4,8.0,2020,IJmond
Agglomeratie Haarlem (CR),171100.0,7.6,14.5,33.1,23.8,21.0,2020,Agglomeratie Haarlem
Zaanstreek (CR),130800.0,9.8,19.0,45.3,17.9,8.0,2020,Zaanstreek
Groot-Amsterdam (CR),1098700.0,9.0,14.6,33.8,22.3,20.4,2020,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),189400.0,7.7,16.2,36.6,22.5,17.1,2020,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),328500.0,6.8,17.1,39.1,20.3,16.7,2020,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),673700.0,11.2,16.8,36.2,19.9,16.0,2020,Agglomeratie 's-Gravenhage
Delft en Westland (CR),181500.0,7.7,16.3,40.4,21.8,13.9,2020,Delft en Westland
Oost-Zuid-Holland (CR),252600.0,8.4,19.6,43.1,19.8,9.0,2020,Oost-Zuid-Holland
Groot-Rijnmond (CR),1109300.0,11.3,19.0,41.6,17.9,10.2,2020,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),276800.0,9.5,20.9,45.5,17.2,6.9,2020,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),78700.0,9.8,22.8,46.9,15.2,5.4,2020,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),207100.0,7.4,21.0,48.0,17.5,6.1,2020,Overig Zeeland
West-Noord-Brabant (CR),484300.0,9.2,19.3,42.9,20.1,8.4,2020,West-Noord-Brabant
Midden-Noord-Brabant (CR),371200.0,9.2,19.7,42.7,19.6,8.8,2020,Midden-Noord-Brabant
Noordoost-Noord-Brabant (CR),507000.0,8.5,19.8,42.3,19.9,9.5,2020,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),596700.0,8.5,18.6,40.4,20.7,11.8,2020,Zuidoost-Noord-Brabant
Noord-Limburg (CR),216100.0,10.3,21.2,44.3,17.6,6.7,2020,Noord-Limburg
Midden-Limburg (CR),181700.0,9.7,20.2,43.6,18.9,7.6,2020,Midden-Limburg
Zuid-Limburg (CR),456800.0,10.6,19.6,42.1,18.6,9.1,2020,Zuid-Limburg
Flevoland (CR),325600.0,9.1,19.7,45.5,18.4,7.2,2020,Flevoland
Oost-Groningen (CR),101900.0,10.3,22.5,49.9,13.5,3.9,2021,Oost-Groningen
Delfzijl en omgeving (CR),33700.0,8.5,20.9,52.3,14.4,3.9,2021,Delfzijl en omgeving
Overig Groningen (CR),320400.0,6.3,14.3,43.1,22.5,13.8,2021,Overig Groningen
Noord-Friesland (CR),242900.0,7.8,19.4,47.7,19.1,6.0,2021,Noord-Friesland
Zuidwest-Friesland (CR),104800.0,6.8,20.4,47.9,19.0,6.0,2021,Zuidwest-Friesland
Zuidoost-Friesland (CR),139600.0,7.6,20.1,47.2,18.8,6.4,2021,Zuidoost-Friesland
Noord-Drenthe (CR),143600.0,6.1,16.8,45.8,21.4,9.9,2021,Noord-Drenthe
Zuidoost-Drenthe (CR),127000.0,10.0,21.8,49.0,14.8,4.4,2021,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),100100.0,9.4,20.0,47.2,17.0,6.4,2021,Zuidwest-Drenthe
Noord-Overijssel (CR),282200.0,7.7,19.2,45.0,20.0,8.1,2021,Noord-Overijssel
Zuidwest-Overijssel (CR),119500.0,7.7,17.6,43.9,20.9,9.9,2021,Zuidwest-Overijssel
Twente (CR),477000.0,8.8,18.5,45.7,19.2,7.8,2021,Twente
Veluwe (CR),522100.0,8.4,19.4,43.4,19.4,9.4,2021,Veluwe
Achterhoek (CR),303000.0,7.6,20.0,46.7,18.5,7.3,2021,Achterhoek
Arnhem/Nijmegen (CR),575000.0,8.1,16.8,39.6,21.4,14.2,2021,Arnhem
Zuidwest-Gelderland (CR),189100.0,9.1,22.0,44.3,16.6,7.9,2021,Zuidwest-Gelderland
Utrecht (CR),1031000.0,7.4,15.4,36.6,22.2,18.4,2021,Utrecht
Kop van Noord-Holland (CR),286800.0,8.5,20.5,47.8,17.2,6.0,2021,Kop van Noord-Holland
Alkmaar en omgeving (CR),188600.0,7.0,17.9,43.8,21.7,9.6,2021,Alkmaar en omgeving
IJmond (CR),149500.0,8.1,18.1,45.9,19.4,8.4,2021,IJmond
Agglomeratie Haarlem (CR),170400.0,7.2,14.4,33.1,23.8,21.5,2021,Agglomeratie Haarlem
Zaanstreek (CR),130200.0,9.3,19.1,45.3,18.1,8.3,2021,Zaanstreek
Groot-Amsterdam (CR),1105300.0,8.6,14.3,34.1,22.3,20.6,2021,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),189400.0,6.8,15.5,36.6,22.7,18.4,2021,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),329900.0,6.3,16.8,39.2,20.1,17.6,2021,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),677800.0,11.0,16.4,36.1,19.9,16.6,2021,Agglomeratie 's-Gravenhage
Delft en Westland (CR),182600.0,7.5,16.4,40.4,22.0,13.8,2021,Delft en Westland
Oost-Zuid-Holland (CR),253800.0,8.1,19.1,43.3,20.1,9.5,2021,Oost-Zuid-Holland
Groot-Rijnmond (CR),1112000.0,10.9,18.5,41.8,18.1,10.7,2021,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),277100.0,9.1,20.3,45.9,17.4,7.3,2021,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),78200.0,9.4,21.3,46.8,15.9,6.6,2021,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),207300.0,7.2,20.5,48.1,18.0,6.3,2021,Overig Zeeland
West-Noord-Brabant (CR),484200.0,9.0,18.9,42.6,20.4,9.2,2021,West-Noord-Brabant
Midden-Noord-Brabant (CR),378700.0,9.0,18.9,43.2,19.9,9.0,2021,Midden-Noord-Brabant
Noordoost-Noord-Brabant (CR),503100.0,8.3,19.2,42.3,20.2,10.0,2021,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),599800.0,8.2,18.1,40.7,20.8,12.2,2021,Zuidoost-Noord-Brabant
Noord-Limburg (CR),216800.0,9.3,20.4,45.4,18.0,6.9,2021,Noord-Limburg
Midden-Limburg (CR),181600.0,9.4,19.2,44.1,19.2,8.2,2021,Midden-Limburg
Zuid-Limburg (CR),454800.0,10.0,18.9,42.7,18.7,9.8,2021,Zuid-Limburg
Flevoland (CR),330000.0,8.5,19.1,46.0,18.9,7.4,2021,Flevoland
Oost-Groningen (CR),102400.0,10.5,21.8,50.1,13.6,4.0,2022,Oost-Groningen
Delfzijl en omgeving (CR),33700.0,8.4,22.4,51.3,14.0,4.0,2022,Delfzijl en omgeving
Overig Groningen (CR),322900.0,6.3,14.1,43.1,22.6,13.9,2022,Overig Groningen
Noord-Friesland (CR),244500.0,7.8,19.0,47.8,19.4,5.9,2022,Noord-Friesland
Zuidwest-Friesland (CR),105000.0,6.7,19.8,48.1,19.4,6.0,2022,Zuidwest-Friesland
Zuidoost-Friesland (CR),140100.0,7.5,19.6,47.1,19.1,6.6,2022,Zuidoost-Friesland
Noord-Drenthe (CR),143900.0,6.5,16.5,45.5,21.4,10.0,2022,Noord-Drenthe
Zuidoost-Drenthe (CR),127600.0,9.3,21.3,49.9,15.1,4.4,2022,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),100700.0,9.5,19.6,47.1,17.2,6.5,2022,Zuidwest-Drenthe
Noord-Overijssel (CR),285500.0,7.7,18.8,45.2,20.0,8.3,2022,Noord-Overijssel
Zuidwest-Overijssel (CR),120400.0,7.8,17.2,43.8,21.2,10.0,2022,Zuidwest-Overijssel
Twente (CR),480000.0,8.9,18.2,45.6,19.5,7.7,2022,Twente
Veluwe (CR),526200.0,8.6,18.9,43.5,19.4,9.6,2022,Veluwe
Achterhoek (CR),303800.0,7.5,19.8,46.5,18.8,7.4,2022,Achterhoek
Arnhem/Nijmegen (CR),578600.0,8.0,16.3,39.7,21.7,14.3,2022,Arnhem
Zuidwest-Gelderland (CR),190800.0,9.1,21.2,44.4,17.2,8.1,2022,Zuidwest-Gelderland
Utrecht (CR),1041300.0,7.4,15.3,36.7,22.2,18.4,2022,Utrecht
Kop van Noord-Holland (CR),288000.0,8.6,19.9,47.9,17.3,6.3,2022,Kop van Noord-Holland
Alkmaar en omgeving (CR),189500.0,7.2,17.6,43.5,22.1,9.7,2022,Alkmaar en omgeving
IJmond (CR),149400.0,8.1,17.6,46.2,19.7,8.5,2022,IJmond
Agglomeratie Haarlem (CR),171900.0,7.3,14.2,33.2,24.1,21.3,2022,Agglomeratie Haarlem
Zaanstreek (CR),131600.0,9.5,18.2,45.7,18.2,8.4,2022,Zaanstreek
Groot-Amsterdam (CR),1126300.0,8.6,14.2,33.9,22.4,20.9,2022,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),191900.0,6.8,15.4,36.4,22.7,18.6,2022,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),332500.0,6.7,16.4,38.9,20.3,17.6,2022,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),687600.0,11.1,16.5,35.8,20.1,16.5,2022,Agglomeratie 's-Gravenhage
Delft en Westland (CR),184300.0,7.4,16.3,40.3,22.3,13.7,2022,Delft en Westland
Oost-Zuid-Holland (CR),256200.0,8.2,18.7,43.5,19.9,9.8,2022,Oost-Zuid-Holland
Groot-Rijnmond (CR),1121400.0,10.9,18.3,41.7,18.3,10.8,2022,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),279200.0,9.1,19.8,46.0,17.7,7.4,2022,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),78300.0,10.1,20.8,47.1,15.5,6.5,2022,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),208700.0,7.2,20.0,48.1,18.4,6.3,2022,Overig Zeeland
West-Noord-Brabant (CR),486300.0,9.1,18.3,42.6,20.7,9.3,2022,West-Noord-Brabant
Midden-Noord-Brabant (CR),382300.0,8.8,18.8,43.0,20.1,9.3,2022,Midden-Noord-Brabant
Noordoost-Noord-Brabant (CR),507300.0,8.4,18.8,42.1,20.4,10.3,2022,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),607000.0,8.6,17.5,40.8,20.9,12.3,2022,Zuidoost-Noord-Brabant
Noord-Limburg (CR),219100.0,9.7,19.9,45.8,18.0,6.7,2022,Noord-Limburg
Midden-Limburg (CR),182100.0,9.5,19.2,43.7,19.5,8.2,2022,Midden-Limburg
Zuid-Limburg (CR),454000.0,10.3,18.6,42.4,18.8,9.8,2022,Zuid-Limburg
Flevoland (CR),336500.0,8.5,18.8,46.2,19.0,7.6,2022,Flevoland
Oost-Groningen (CR),102000.0,10.2,22.3,49.4,14.1,4.0,2023,Oost-Groningen
Delfzijl en omgeving (CR),33400.0,8.7,21.7,50.6,14.8,4.2,2023,Delfzijl en omgeving
Overig Groningen (CR),328000.0,6.4,13.9,43.1,22.4,14.2,2023,Overig Groningen
Noord-Friesland (CR),245700.0,8.0,18.8,47.2,19.9,6.1,2023,Noord-Friesland
Zuidwest-Friesland (CR),104100.0,7.2,19.5,47.0,19.9,6.4,2023,Zuidwest-Friesland
Zuidoost-Friesland (CR),140400.0,7.7,19.5,46.7,19.4,6.7,2023,Zuidoost-Friesland
Noord-Drenthe (CR),143800.0,6.8,16.2,44.8,21.8,10.4,2023,Noord-Drenthe
Zuidoost-Drenthe (CR),127700.0,9.6,21.0,48.7,15.7,5.0,2023,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),100900.0,9.1,19.9,46.3,18.1,6.7,2023,Zuidwest-Drenthe
Noord-Overijssel (CR),286800.0,7.5,18.7,44.9,20.3,8.5,2023,Noord-Overijssel
Zuidwest-Overijssel (CR),121000.0,7.8,16.9,43.3,21.6,10.4,2023,Zuidwest-Overijssel
Twente (CR),480100.0,8.8,18.0,45.3,20.0,7.9,2023,Twente
Veluwe (CR),530500.0,8.9,18.7,42.9,19.8,9.8,2023,Veluwe
Achterhoek (CR),303000.0,7.7,19.2,45.8,19.1,8.2,2023,Achterhoek
Arnhem/Nijmegen (CR),584100.0,8.1,16.1,39.4,21.8,14.7,2023,Arnhem
Zuidwest-Gelderland (CR),191100.0,9.0,20.9,43.9,17.9,8.3,2023,Zuidwest-Gelderland
Utrecht (CR),1050800.0,7.6,15.0,36.1,22.2,19.0,2023,Utrecht
Kop van Noord-Holland (CR),287600.0,8.7,20.0,47.3,17.6,6.4,2023,Kop van Noord-Holland
Alkmaar en omgeving (CR),189800.0,7.5,17.2,43.2,22.0,10.1,2023,Alkmaar en omgeving
IJmond (CR),149400.0,8.2,17.5,45.3,19.8,9.1,2023,IJmond
Agglomeratie Haarlem (CR),173500.0,7.4,14.1,32.8,24.0,21.7,2023,Agglomeratie Haarlem
Zaanstreek (CR),132700.0,9.5,18.0,45.0,18.3,9.3,2023,Zaanstreek
Groot-Amsterdam (CR),1157600.0,8.6,14.1,33.5,22.7,21.2,2023,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),176300.0,7.2,15.5,35.7,22.6,19.0,2023,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),337100.0,6.9,16.1,38.6,20.6,17.9,2023,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),693100.0,11.4,16.7,35.3,19.8,16.8,2023,Agglomeratie 's-Gravenhage
Delft en Westland (CR),187900.0,7.5,15.7,40.1,22.1,14.6,2023,Delft en Westland
Oost-Zuid-Holland (CR),257300.0,8.3,18.0,43.1,20.6,9.9,2023,Oost-Zuid-Holland
Groot-Rijnmond (CR),1130800.0,11.1,17.9,41.2,18.4,11.4,2023,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),279700.0,9.3,20.0,45.6,17.6,7.5,2023,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),77600.0,11.0,21.2,45.8,15.5,6.5,2023,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),208600.0,7.8,19.5,47.6,18.5,6.6,2023,Overig Zeeland
West-Noord-Brabant (CR),488600.0,9.1,18.5,42.4,20.9,9.0,2023,West-Noord-Brabant
Midden-Noord-Brabant (CR),384800.0,9.1,18.2,43.1,20.2,9.4,2023,Midden-Noord-Brabant
Noordoost-Noord-Brabant (CR),509300.0,8.4,18.4,41.4,20.9,10.8,2023,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),611000.0,8.7,17.1,40.3,21.0,12.9,2023,Zuidoost-Noord-Brabant
Noord-Limburg (CR),219800.0,10.0,19.9,44.8,18.3,6.9,2023,Noord-Limburg
Midden-Limburg (CR),182000.0,9.9,19.2,42.9,19.7,8.3,2023,Midden-Limburg
Zuid-Limburg (CR),454700.0,10.4,18.7,42.1,18.9,9.9,2023,Zuid-Limburg
Flevoland (CR),341000.0,8.6,18.5,45.6,19.6,7.6,2023,Flevoland
