Region,aantal,Primary education,Lower secondary education,Vocational training,Higher education (Bachelor),Higher education (Master/Doctor),Jaar,Region_clean
Twente (CR),467200.0,10.6,21.4,44.7,16.7,6.6,2014,Twente
Veluwe (CR),495000.0,9.9,22.7,42.5,17.2,7.7,2014,Veluwe
Achterhoek (CR),298000.0,9.2,23.4,44.9,16.5,6.0,2014,Achterhoek
Arnhem/Nijmegen (CR),553100.0,9.9,19.9,39.8,18.9,11.5,2014,Arnhem
Zuidwest-Gelderland (CR),178100.0,11.4,25.9,41.9,14.4,6.4,2014,Zuidwest-Gelderland
Utrecht (CR),948700.0,8.8,17.9,37.7,20.0,15.6,2014,Utrecht
Kop van Noord-Holland (CR),282000.0,9.9,23.4,46.3,15.6,4.9,2014,Kop van Noord-Holland
Alkmaar en omgeving (CR),176300.0,8.4,20.8,43.5,18.8,8.5,2014,Alkmaar en omgeving
IJmond (CR),145400.0,10.0,21.6,44.6,16.8,7.0,2014,IJmond
Agglomeratie Haarlem (CR),169200.0,9.0,17.2,35.8,21.4,16.6,2014,Agglomeratie Haarlem
Zaanstreek (CR),126400.0,10.9,21.9,44.8,16.1,6.3,2014,Zaanstreek
Groot-Amsterdam (CR),1026300.0,10.2,16.4,35.8,19.5,18.2,2014,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),180500.0,8.3,19.0,37.0,20.5,15.0,2014,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),315800.0,8.3,19.5,39.1,18.0,15.1,2014,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),631600.0,12.6,18.8,36.8,17.5,14.2,2014,Agglomeratie 's-Gravenhage
Delft en Westland (CR),174000.0,8.0,19.7,40.4,19.3,12.5,2014,Delft en Westland
Oost-Zuid-Holland (CR),221700.0,9.8,22.7,42.1,17.4,8.0,2014,Oost-Zuid-Holland
Groot-Rijnmond (CR),1079200.0,12.9,21.8,41.2,15.6,8.4,2014,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),296200.0,11.0,23.8,43.9,15.3,5.9,2014,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),79400.0,10.2,24.8,46.6,14.0,4.4,2014,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),204000.0,8.9,24.3,45.5,15.9,5.3,2014,Overig Zeeland
West-Noord-Brabant (CR),475600.0,10.3,22.5,42.6,17.3,7.3,2014,West-Noord-Brabant
Midden-Noord-Brabant (CR),356700.0,10.2,22.6,42.5,17.2,7.6,2014,Midden-Noord-Brabant
